date,A1_tw,A2,A3_tw,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,A155ABCD,B1_tw,B2,B3_tw,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,B155ABCD,C1_tw,C2,C3_tw,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D,C155ABCD,P1_A,P2_A,P3_A,P75_A,P7595_A,P95115_A,P115135_A,P135155_A,P155_A,P1_B,P2_B,P3_B,P75_B,P7595_B,P95115_B,P115135_B,P135155_B,P155_B,P1_C,P2_C,P3_C,P75_C,P7595_C,P95115_C,P115135_C,P135155_C,P155_C
2020-01,624274,622910,595878,595711,595711,585687,473,10024,132182,313079,133357,22612,535,2643,3389,502,7069,126.05,126.06,124.99,125.0,125.0,125.61,65.41,89.26,107.98,124.94,142.42,165.43,162.89,169.12,167.66,163.48,167.55,63.76,63.74,64.08,64.08,64.07,64.16,0.0,0.08,30.61,56.91,63.47,64.11,64.38,65.1,70.99,69.42,71.78,68.01,70.57,1364,0,167,0,0,159,8,0,0,120.96,0,105.31,0,0,104.78,115.81,0,0,70.84,0,80.77,0,0,80.8,80.27,0,0
2020-02,552062,551022,527680,527442,527442,518351,533,9091,110165,282620,120633,17834,311,1902,2344,376,4933,126.17,126.19,125.21,125.22,125.22,125.85,67.01,88.95,108.06,125.04,142.35,164.53,161.91,166.47,167.24,162.57,166.25,58.98,58.97,59.34,59.34,59.34,59.43,0.0,0.09,30.97,51.83,59.13,59.52,59.01,60.25,62.28,69.25,70.18,61.07,68.66,1040,0,238,0,0,237,1,0,0,119.64,0,106.81,0,0,106.76,119.8,0,0,64.86,0,72.21,0,0,72.19,74.55,0,0
2020-03,623107,621879,595206,595022,595022,584309,601,10713,128547,314614,134951,22443,413,2547,2727,510,6197,126.13,126.14,125.06,125.06,125.06,125.73,65.88,88.88,108.08,124.97,142.43,165.34,161.45,167.26,167.11,162.53,166.42,62.37,62.36,62.73,62.73,62.72,62.81,0.01,0.08,32.74,56.14,62.62,62.92,62.32,62.74,64.99,69.28,72.57,63.17,69.97,1228,0,184,0,0,183,1,0,0,121.79,0,109.39,0,0,109.34,118.2,0,0,67.61,0,73.65,0,0,73.64,76.62,0,0
2020-04,571911,570705,545621,545428,545428,534966,631,10462,123781,285531,119631,21076,338,2553,2620,512,6023,125.74,125.76,124.67,124.68,124.67,125.38,66.75,88.74,108.02,124.87,142.47,165.37,161.92,167.71,166.48,163.08,166.46,71.68,71.67,72.07,72.07,72.07,72.16,0.0,0.1,43.21,65.35,71.56,72.3,72.12,71.35,73.85,75.08,77.71,72.75,75.96,1206,0,193,0,0,190,3,0,0,120.29,0,107.87,0,0,107.7,119.1,0,0,75.94,0,84.39,0,0,84.27,91.22,0,0
2020-05,564688,563445,538467,538291,538291,527245,702,11046,125622,280171,115013,21440,431,2623,2679,706,6439,125.49,125.49,124.41,124.42,124.42,125.17,66.76,88.74,108.01,124.79,142.52,165.83,162.77,167.36,166.52,163.74,166.31,74.37,74.36,74.82,74.82,74.81,74.92,0.01,0.1,41.09,67.63,74.54,75.14,74.63,73.27,73.94,76.58,77.87,75.56,76.83,1243,0,176,0,0,173,3,0,0,121.64,0,107.95,0,0,107.79,117.03,0,0,79.83,0,87.85,0,0,87.77,91.94,0,0
2020-06,529331,528247,506372,506170,506170,493206,659,12964,134842,257863,94799,18237,342,2466,2386,508,5702,123.97,123.97,122.96,122.96,122.97,123.87,67.67,88.75,107.8,124.5,142.44,165.82,163.37,166.49,167.05,163.24,166.25,76.33,76.32,76.75,76.75,76.75,76.91,0.0,0.16,40.45,68.25,75.67,77.15,77.37,76.37,77.48,81.32,82.14,76.65,81.03,1084,0,202,0,0,202,0,0,0,121.23,0,111.92,0,0,111.92,0.0,0,0,82.41,0,89.72,0,0,89.72,0.0,0,0
2020-07,572102,570911,548711,548532,548532,533546,869,14986,157164,280338,91331,16455,234,2147,1913,419,4713,122.78,122.78,121.93,121.93,121.94,122.86,66.74,88.91,107.74,124.31,142.23,166.14,162.81,166.44,165.9,163.39,165.77,77.14,77.13,77.6,77.6,77.6,77.78,0.0,0.18,38.08,68.91,76.62,78.1,78.28,76.03,78.43,79.45,80.8,79.74,79.97,1191,0,179,0,0,174,5,0,0,121.43,0,107.62,0,0,107.34,117.32,0,0,83.39,0,91.14,0,0,91.06,93.62,0,0
2020-08,568000,566814,546696,546442,546442,531480,836,14962,161857,280353,84524,14372,153,2036,2284,273,4746,122.2,122.21,121.48,121.49,121.49,122.41,67.38,88.98,107.68,124.23,142.09,167.07,162.88,167.11,166.24,164.06,166.38,77.87,77.86,78.28,78.27,78.27,78.48,0.0,0.2,41.38,68.45,76.82,78.8,79.65,78.2,81.4,82.78,82.91,85.19,82.94,1186,0,254,0,0,246,8,0,0,120.49,0,104.62,0,0,104.22,116.88,0,0,84.29,0,93.82,0,0,93.79,94.65,0,0
2020-09,567597,566565,545688,545581,545581,531980,719,13601,151483,284679,91416,14055,105,2082,1958,257,4402,122.89,122.89,122.2,122.2,122.2,123.05,66.3,89.1,107.72,124.41,142.08,166.17,165.69,167.73,166.77,164.23,167.05,71.45,71.44,71.85,71.85,71.85,72.02,0.0,0.17,37.81,62.81,70.38,72.28,72.99,72.37,73.48,78.85,78.4,76.23,78.37,1032,0,107,0,0,103,4,0,0,122.72,0,105.78,0,0,105.42,115.2,0,0,77.86,0,96.53,0,0,96.87,88.37,0,0
2020-10,564788,563682,541221,541004,541004,530013,627,10991,124763,290470,109811,16912,177,2249,2192,351,4969,124.96,124.97,124.12,124.13,124.13,124.87,67.34,88.74,108.05,124.8,142.23,165.73,165.04,168.31,166.94,163.36,167.24,69.59,69.58,69.97,69.96,69.96,70.09,0.01,0.13,37.18,60.97,69.14,70.24,70.31,69.59,69.75,75.31,75.47,71.05,74.89,1106,0,217,0,0,217,0,0,0,121.28,0,101.66,0,0,101.66,0.0,0,0,75.07,0,86.58,0,0,86.58,0.0,0,0
