ip,port,err,checkurl,g_idx
1.242.244.123,8080,[Errno 104] Connection reset by peer,https://www.whatismyip.com/,0
1.242.244.123,8080,[Errno 104] Connection reset by peer,https://whatismyipaddress.com/zh-cn/index,0
1.242.244.123,8080,[Errno 104] Connection reset by peer,https://www.rus.net.tw/myip.php,0
1.242.244.123,8080,[Errno 104] Connection reset by peer,https://www.whatismyip.com.tw/tw/,0
1.242.244.123,8080,[Errno 104] Connection reset by peer,https://www.myip.com/,0
1.242.244.123,8080,[Errno 104] Connection reset by peer,https://httpbin.org/ip,0
1.242.244.123,8080,"status=500, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,0
103.240.161.101,6666,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,1
103.240.161.101,6666,asyncio.exceptions.TimeoutError,https://www.myip.com/,1
103.240.161.101,6666,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,1
103.240.161.101,6666,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,1
103.240.161.101,6666,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,1
103.240.161.101,6666,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,1
103.240.161.101,6666,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,1
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",https://www.whatismyip.com.tw/tw/,2
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",https://whatismyipaddress.com/zh-cn/index,2
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",https://www.rus.net.tw/myip.php,2
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",https://www.myip.com/,2
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",https://www.whatismyip.com/,2
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",https://httpbin.org/ip,2
104.238.81.186,56227,"Cannot connect to host 104.238.81.186:56227 ssl:default [Connect call failed ('104.238.81.186', 56227)]",http://210.240.175.62/NTIIS/IP_test.asp,2
117.196.230.215,20747,asyncio.exceptions.TimeoutError,https://www.myip.com/,3
117.196.230.215,20747,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,3
117.196.230.215,20747,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,3
117.196.230.215,20747,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,3
117.196.230.215,20747,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,3
117.196.230.215,20747,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,3
117.196.230.215,20747,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,3
117.6.161.118,53281,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,4
