ip,port,now,goodcnt
24.193.59.8,8080,2021-05-02_13:46:31,1
77.238.79.111,8080,2021-05-02_13:42:09,1
94.180.72.40,3128,2021-05-02_13:42:09,4
91.132.139.178,3128,2021-04-27_07:32:17,1
123.253.36.99,8080,2021-05-02_13:42:09,2
52.66.5.63,80,2021-05-02_13:42:09,1
13.36.167.122,8080,2021-05-02_03:31:46,1
43.129.20.96,80,2021-05-02_12:46:13,1
183.88.93.103,8213,2021-05-02_13:30:12,3
103.103.175.253,3128,2021-05-01_16:00:37,5
37.29.80.161,8080,2021-05-02_13:20:04,2
34.94.158.4,80,2021-05-02_13:50:54,1
13.127.96.44,80,2021-05-02_13:42:09,1
81.95.131.10,44292,2021-05-02_13:50:54,2
54.67.90.161,80,2021-05-02_13:46:31,4
185.236.202.178,3128,2021-05-02_07:54:16,1
85.15.152.39,3128,2021-05-02_13:30:12,1
169.57.219.244,80,2021-05-02_13:42:09,5
162.155.10.150,55443,2021-05-02_13:30:12,2
167.172.63.35,80,2021-05-01_16:13:43,1
144.202.113.90,8080,2021-05-01_10:41:22,1
193.29.104.79,3128,2021-05-02_12:33:07,1
94.244.28.246,31280,2021-05-02_13:42:09,5
178.32.223.164,8118,2021-05-02_13:42:09,1
96.9.69.164,53281,2021-05-02_13:42:09,2
157.100.58.60,999,2021-05-02_12:54:58,4
221.141.130.183,33741,2021-05-02_13:37:47,4
175.143.37.162,80,2021-05-02_04:24:16,1
45.235.216.112,8080,2021-05-02_13:32:09,4
91.132.139.180,3128,2021-04-28_07:28:05,1
103.251.225.13,34052,2021-05-02_13:30:12,1
163.172.221.209,443,2021-05-02_13:42:09,4
91.245.255.37,3128,2021-04-30_14:08:57,1
173.46.67.172,58517,2021-05-02_13:42:09,4
77.65.64.110,80,2021-05-02_13:42:09,1
103.230.142.101,3128,2021-05-02_12:46:13,4
180.94.69.66,8080,2021-05-02_13:42:09,2
139.99.105.185,80,2021-05-02_12:41:51,1
103.240.77.98,30093,2021-05-02_13:42:09,3
14.192.31.4,50838,2021-05-02_13:50:54,3
118.172.201.89,39818,2021-05-02_13:30:12,1
124.41.243.72,44716,2021-05-02_13:36:31,3
129.226.52.93,443,2021-05-02_13:50:54,3
186.159.3.193,56861,2021-05-02_13:50:54,1
89.218.83.238,80,2021-05-02_13:30:12,2
150.136.60.248,80,2021-05-02_13:46:31,2
194.5.212.199,3128,2021-04-29_10:50:59,1
132.145.212.129,80,2021-05-02_13:46:31,1
119.81.189.194,80,2021-05-02_11:49:27,3
103.28.121.58,80,2021-05-02_13:32:09,1
71.13.82.30,80,2021-05-02_13:46:31,1
183.89.56.8,8213,2021-05-02_13:32:09,5
36.89.187.193,43032,2021-05-02_13:42:09,3
144.217.254.175,3128,2021-05-02_09:08:37,2
190.7.141.66,47576,2021-05-02_13:50:54,1
177.125.169.6,55443,2021-05-02_13:42:09,1
1.2.169.49,36335,2021-05-02_13:42:09,1
90.182.166.59,80,2021-05-02_13:50:54,2
105.208.44.183,53480,2021-05-02_13:42:09,1
132.248.196.2,8080,2021-05-01_13:04:19,5
144.217.101.245,3129,2021-05-02_12:59:20,3
110.74.195.65,55443,2021-05-02_13:30:12,5
150.136.117.248,80,2021-05-02_13:46:31,1
200.116.226.210,43049,2021-05-02_13:36:31,2
35.239.155.190,80,2021-05-02_13:46:31,1
181.129.183.19,53281,2021-05-02_13:42:09,1
149.28.213.28,80,2021-05-02_13:30:12,1
8.210.71.64,3128,2021-05-02_12:28:45,2
131.221.64.152,23500,2021-05-02_13:42:09,5
101.109.255.17,43501,2021-05-02_13:50:54,1
89.45.4.142,3128,2021-05-02_10:05:27,1
200.6.136.94,8080,2021-05-02_13:37:47,1
118.173.232.5,34413,2021-05-02_13:50:54,3
194.146.32.18,80,2021-05-02_12:59:20,1
180.179.98.22,3128,2021-05-02_13:37:47,1
129.146.179.165,80,2021-05-02_13:46:31,2
162.241.70.48,80,2021-05-02_13:46:31,1
14.225.5.68,80,2021-05-02_12:54:58,1
159.192.130.233,8080,2021-05-02_13:50:54,2
213.203.177.218,3128,2021-05-02_13:30:12,3
168.119.137.56,3128,2021-05-02_02:48:02,3
157.230.185.143,80,2021-05-02_13:46:31,1
41.169.11.210,45088,2021-05-02_13:36:31,1
139.5.71.46,23500,2021-05-02_13:50:54,1
150.136.5.47,80,2021-05-02_13:46:31,2
129.205.160.233,60643,2021-05-02_13:42:09,2
