date,wd,A1_tw@,A2@,A3_tw@,A3@,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,A155ABCD,B1_tw@,B2@,B3_tw@,B3@,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,B155ABCD,C1_tw@,C2@,C3_tw@,C3@,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D,C155ABCD,P1_A,P2_A,P3_A,P75_A,P7595_A,P95115_A,P115135_A,P135155_A,P155_A,P1_B,P2_B,P3_B,P75_B,P7595_B,P95115_B,P115135_B,P135155_B,P155_B,P1_C,P2_C,P3_C,P75_C,P7595_C,P95115_C,P115135_C,P135155_C,P155_C
2010-01-01,(五),24474,24474,23947,23947,23947,23356,23,591,7566,15790,0,0,0,0,0,0,0,121.6,121.6,121.4,121.4,121.43,122.24,66.6,89.27,107.86,129.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.98,65.98,66.19,66.19,66.19,66.24,0.0,0.05,43.47,63.26,66.37,66.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
2010-01-02,(六),20667,20667,20202,20202,20202,19713,21,489,6203,13510,0,0,0,0,0,0,0,121.7,121.7,121.5,121.5,121.51,122.29,69.3,89.97,107.9,128.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14,67.14,67.38,67.38,67.38,67.43,0.0,0.05,50.33,64.38,67.38,67.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
2010-01-03,(日),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
2010-01-04,(一),24085,24066,23196,23177,23177,22599,29,578,6665,15934,0,0,0,0,0,0,0,122.2,122.2,122.0,122.0,122.0,122.85,69.21,88.86,108.07,129.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33,66.32,66.6,66.59,66.59,66.64,0.0,0.05,53.61,63.6,67.17,66.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,19,0,0,19,0,0,0,97.6,0,97.6,0,0.0,97.6,0.0,0,0,76.21,0,76.21,0,0.0,76.21,0.0,0,0
2010-01-05,(二),22770,22770,22180,22180,22180,21575,19,605,7080,14495,0,0,0,0,0,0,0,121.3,121.3,120.9,120.9,120.88,121.76,71.31,89.72,107.77,128.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.89,66.89,67.21,67.21,67.21,67.27,0.0,0.06,51.61,64.46,67.51,67.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
2010-01-06,(三),23184,23175,22584,22575,22575,21969,38,606,7247,14722,0,0,0,0,0,0,0,121.3,121.3,121.2,121.2,121.23,122.12,66.7,89.04,107.99,129.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.27,67.27,67.54,67.53,67.53,67.59,0.0,0.06,43.48,64.46,68.04,67.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,9,0,0,9,0,0,0,99.2,0,99.2,0,0.0,99.2,0.0,0,0,78.54,0,78.54,0,0.0,78.54,0.0,0,0
2010-01-07,(四),23186,23186,22289,22289,22289,21643,29,646,7084,14559,0,0,0,0,0,0,0,121.2,121.2,121.1,121.1,121.12,122.08,67.97,88.92,107.8,129.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2,67.2,67.46,67.46,67.46,67.52,0.0,0.06,50.36,64.86,67.85,67.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
2010-01-08,(五),24764,24757,24249,24242,24242,23615,28,627,7487,16128,0,0,0,0,0,0,0,121.7,121.7,121.6,121.6,121.61,122.46,68.93,89.68,107.76,129.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4,67.4,67.63,67.62,67.62,67.66,0.0,0.04,45.73,65.44,67.99,67.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,7,0,0,7,0,0,0,112.5,0,112.5,0,0.0,112.5,0.0,0,0,82.74,0,82.74,0,0.0,82.74,0.0,0,0
2010-01-09,(六),20830,20830,20408,20408,20408,19891,16,517,6444,13447,0,0,0,0,0,0,0,121.6,121.6,121.4,121.4,121.43,122.25,65.8,90.14,107.63,129.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.98,68.98,69.23,69.23,69.23,69.27,0.0,0.04,46.58,66.96,69.43,69.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
2010-01-10,(日),4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5,0.0,109.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.83,0.0,84.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,0,0,4,0,0,0,109.5,0,109.5,0,0.0,109.5,0.0,0,0,84.83,0,84.83,0,0.0,84.83,0.0,0,0
