date,wd,A1,A2,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,B1,B2,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,C1,C2,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D
2019-01-01,(二),22390.0,22390.0,21494.0,21494.0,21117.0,32.0,377.0,5081.0,11739.0,4041.0,733.0,20.0,82.0,119.0,35.0,124.87,124.87,123.88,123.88,124.5,64.31,89.15,107.91,124.64,142.31,165.23,164.95,166.9,166.7,164.03,70.93,70.93,71.32,71.32,71.41,0.0,0.09,35.56,63.88,70.78,71.66,71.31,70.91,69.4,74.93,70.24,76.21
2019-01-02,(三),22823.0,22823.0,21962.0,21962.0,21458.0,21.0,504.0,4943.0,11715.0,4592.0,626.0,23.0,67.0,96.0,22.0,124.87,124.87,124.24,124.24,125.08,68.93,88.71,107.72,124.97,142.2,164.85,161.78,165.3,167.2,164.5,71.49,71.49,71.91,71.91,72.04,0.0,0.13,38.92,63.87,71.36,72.52,71.55,70.27,75.02,73.61,69.3,73.74
2019-01-03,(四),23261.0,23261.0,22219.0,22219.0,21714.0,22.0,505.0,5346.0,11567.0,4528.0,880.0,19.0,95.0,115.0,44.0,125.02,125.02,123.96,123.96,124.78,66.18,88.91,107.79,124.88,142.11,166.64,162.34,164.0,168.9,162.43,71.03,71.03,71.37,71.37,71.51,0.0,0.14,36.38,63.01,70.92,71.67,71.44,71.86,75.43,74.96,74.94,74.33
2019-01-04,(五),25726.0,25618.0,24460.0,24460.0,23920.0,23.0,540.0,5873.0,12420.0,5358.0,954.0,29.0,72.0,156.0,12.0,125.33,125.34,124.24,124.24,125.03,67.81,89.11,107.95,124.7,142.49,166.9,164.15,164.7,166.25,162.08,70.38,70.36,70.79,70.79,70.94,0.0,0.15,35.73,61.36,69.78,71.19,71.25,70.14,74.17,75.38,72.07,75.89
2019-01-05,(六),17978.0,17978.0,17357.0,17357.0,17096.0,10.0,261.0,4243.0,9438.0,3180.0,610.0,23.0,108.0,83.0,21.0,124.85,124.85,124.0,124.0,124.54,69.41,89.12,108.4,124.77,142.25,165.75,164.13,167.9,166.43,164.9,72.26,72.26,72.52,72.51,72.61,-0.01,0.09,35.61,63.81,71.74,72.79,72.82,73.73,77.77,76.62,72.49,72.19
2019-01-06,(日),104.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.98,0.0,106.8,106.8,106.8,0.0,0.0,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.71,0.0,83.49,83.49,83.49,0.0,0.0,0.0,0.0,83.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,(一),24643.0,24643.0,23447.0,23447.0,22944.0,21.0,503.0,5495.0,12305.0,4952.0,916.0,0.0,91.0,101.0,0.0,125.45,125.45,124.15,124.15,124.94,66.82,88.27,107.96,124.82,142.56,165.73,0.0,163.6,164.8,0.0,69.67,69.67,70.01,70.01,70.15,0.0,0.14,35.75,61.38,69.49,70.27,70.2,69.99,0.0,77.34,73.33,0.0
2019-01-08,(二),24635.0,24511.0,23719.0,23719.0,23309.0,16.0,410.0,6419.0,12140.0,4554.0,641.0,29.0,59.0,78.0,30.0,124.16,124.27,123.18,123.18,123.77,67.2,89.45,107.95,124.54,142.13,167.74,161.1,172.0,167.24,168.67,69.16,69.09,69.57,69.57,69.68,0.0,0.11,36.81,61.04,68.99,69.89,69.67,70.24,80.89,76.14,72.39,73.34
2019-01-09,(三),24808.0,24808.0,23887.0,23887.0,23376.0,25.0,511.0,5794.0,12631.0,4694.0,707.0,23.0,78.0,128.0,28.0,124.52,124.52,123.79,123.79,124.55,70.2,89.02,107.82,124.79,142.31,165.84,164.95,167.1,166.41,161.64,68.69,68.69,69.09,69.09,69.23,0.0,0.14,38.5,60.39,68.23,69.24,69.73,70.94,76.87,77.71,73.7,75.6
2019-01-10,(四),25182.0,25072.0,24072.0,24072.0,23489.0,31.0,583.0,6040.0,12538.0,4674.0,711.0,14.0,90.0,108.0,25.0,124.24,124.25,123.35,123.35,124.21,68.83,88.62,107.71,124.66,142.28,164.69,162.03,163.9,165.76,164.04,68.64,68.61,69.08,69.08,69.26,0.0,0.18,39.05,58.92,67.91,69.35,69.96,71.41,83.4,75.3,76.01,74.8
2019-01-11,(五),27477.0,27477.0,26278.0,26278.0,25811.0,36.0,467.0,6243.0,13792.0,5460.0,930.0,37.0,74.0,172.0,33.0,125.22,125.22,124.33,124.33,124.95,63.46,89.65,108.08,124.82,142.21,166.57,164.7,165.4,167.32,161.97,68.9,68.9,69.35,69.35,69.45,0.0,0.1,31.63,61.36,68.13,69.53,70.09,70.28,76.68,73.24,74.44,73.74
2019-01-12,(六),19101.0,18991.0,18358.0,18358.0,18062.0,9.0,296.0,4991.0,9643.0,3241.0,552.0,22.0,79.0,63.0,23.0,123.8,123.81,123.0,123.0,123.54,66.11,89.68,108.06,124.4,142.3,167.05,169.47,167.7,168.06,162.09,71.97,71.96,72.26,72.26,72.37,0.0,0.11,30.71,63.46,70.79,72.61,73.25,73.46,79.41,79.87,73.39,76.2
2019-01-13,(日),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,(一),26691.0,26587.0,25417.0,25417.0,24877.0,22.0,540.0,5859.0,13618.0,5160.0,855.0,0.0,66.0,174.0,0.0,124.99,125.0,124.16,124.16,124.92,65.27,88.87,108.07,124.87,142.2,166.28,0.0,163.6,169.79,0.0,68.86,68.83,69.26,69.26,69.37,0.0,0.11,36.12,62.22,68.68,69.46,69.57,68.16,0.0,77.59,70.85,0.0
2019-01-15,(二),26066.0,26066.0,24964.0,24964.0,24492.0,25.0,472.0,6248.0,12897.0,5125.0,851.0,36.0,35.0,106.0,45.0,124.99,124.99,123.79,123.79,124.46,68.92,89.0,107.92,124.75,142.15,167.76,162.87,161.7,167.48,163.71,68.6,68.6,69.03,69.03,69.14,0.0,0.11,40.92,61.36,68.33,69.37,69.25,68.6,75.89,75.37,69.27,71.51
2019-01-16,(三),26592.0,26489.0,25432.0,25432.0,24837.0,29.0,595.0,6556.0,13418.0,4686.0,683.0,15.0,60.0,84.0,18.0,123.77,123.76,123.0,122.99,123.81,65.09,89.02,107.89,124.6,142.28,165.24,158.96,167.6,163.37,160.56,68.16,68.14,68.64,68.64,68.8,0.0,0.16,30.37,59.71,67.7,69.09,69.0,67.39,78.64,76.08,70.91,75.74
2019-01-17,(四),26509.0,26509.0,25483.0,25483.0,24884.0,21.0,599.0,6551.0,13201.0,4922.0,759.0,33.0,59.0,102.0,16.0,124.06,124.06,123.22,123.22,124.04,70.91,89.08,108.01,124.56,142.2,165.52,170.12,161.9,166.5,167.44,67.92,67.92,68.29,68.29,68.42,0.0,0.13,42.93,60.31,67.65,68.61,68.47,68.64,75.67,75.39,74.0,71.16
