date,A1,A2,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,B1,B2,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,C1,C2,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D,P1_A,P2_A,P3_A,P75_A,P7595_A,P95115_A,P115135_A,P135155_A,P155_A,P1_B,P2_B,P3_B,P75_B,P7595_B,P95115_B,P115135_B,P135155_B,P155_B,P1_C,P2_C,P3_C,P75_C,P7595_C,P95115_C,P115135_C,P135155_C,P155_C
1996-01,670483.0,670483.0,632938.0,632938.0,562309.0,2994.0,70629.0,448702.0,113607.0,0.0,0.0,0.0,0.0,0.0,0.0,106.95,106.95,107.02,107.03,109.31,67.87,88.87,105.92,122.71,0.0,0.0,0.0,0.0,0.0,0.0,65.51,65.5,63.83,63.83,64.14,-0.0,0.31,50.07,60.75,64.6,62.59,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,0,1888.0,0.0,1888.0,0.0,0.0,0,0,93.17,0,92.16,0.0,92.16,0.0,0.0,0,0,67.2,0,67.32,0.0,67.32,0.0,0.0,0,0
1996-02,657217.0,657217.0,631984.0,631984.0,561174.0,3356.0,70810.0,447140.0,114034.0,0.0,0.0,0.0,0.0,0.0,0.0,106.78,106.78,107.01,107.0,109.27,70.02,89.07,105.87,122.59,0.0,0.0,0.0,0.0,0.0,0.0,63.52,63.52,63.91,63.91,64.16,-0.0,0.25,49.83,61.45,64.18,64.09,0.0,0.0,0.0,0.0,0.0,0.0,2232.0,0,2195.0,0.0,2195.0,0.0,0.0,0,0,90.75,0,90.06,0.0,90.06,0.0,0.0,0,0,67.65,0,67.74,0.0,67.74,0.0,0.0,0,0
1996-03,679584.0,679584.0,663222.0,663222.0,597141.0,3977.0,66081.0,435999.0,161142.0,0.0,0.0,0.0,0.0,0.0,0.0,108.38,108.38,108.78,108.78,111.0,73.76,88.7,106.55,123.04,0.0,0.0,0.0,0.0,0.0,0.0,64.02,64.01,61.31,61.31,61.48,0.0,0.17,47.43,59.42,61.73,60.89,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0,2052.0,0.0,2052.0,0.0,0.0,0,0,91.03,0,90.12,0.0,90.12,0.0,0.0,0,0,65.88,0,66.0,0.0,66.0,0.0,0.0,0,0
1996-04,617966.0,617966.0,592339.0,592339.0,529181.0,9380.0,63158.0,381444.0,147737.0,0.0,0.0,0.0,0.0,0.0,0.0,109.25,109.25,109.01,109.02,111.44,105.18,88.72,106.53,124.12,0.0,0.0,0.0,0.0,0.0,0.0,62.36,62.36,61.4,61.39,61.58,-0.01,0.18,57.39,59.42,61.98,60.7,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,0,2045.0,0.0,2045.0,0.0,0.0,0,0,88.71,0,88.04,0.0,88.04,0.0,0.0,0,0,64.75,0,64.83,0.0,64.83,0.0,0.0,0,0
1996-05,662291.0,662291.0,635990.0,635990.0,560877.0,5403.0,75113.0,414287.0,146590.0,0.0,0.0,0.0,0.0,0.0,0.0,108.12,108.11,108.13,108.13,110.72,87.73,88.83,106.03,123.96,0.0,0.0,0.0,0.0,0.0,0.0,65.01,65.01,65.36,65.35,65.57,-0.0,0.22,55.52,63.29,65.8,65.03,0.0,0.0,0.0,0.0,0.0,0.0,2129.0,0,2080.0,0.0,2080.0,0.0,0.0,0,0,87.63,0,86.59,0.0,86.59,0.0,0.0,0,0,66.11,0,66.19,0.0,66.19,0.0,0.0,0,0
1996-06,605328.0,605328.0,582070.0,582070.0,498743.0,3486.0,83327.0,391948.0,106795.0,0.0,0.0,0.0,0.0,0.0,0.0,106.31,106.31,106.32,106.33,109.26,68.6,88.79,105.31,123.77,0.0,0.0,0.0,0.0,0.0,0.0,67.48,67.48,67.86,67.86,68.34,0.0,0.48,51.92,64.35,68.26,68.57,0.0,0.0,0.0,0.0,0.0,0.0,1987.0,0,1926.0,0.0,1926.0,0.0,0.0,0,0,85.91,0,84.18,0.0,84.18,0.0,0.0,0,0,69.62,0,69.72,0.0,69.72,0.0,0.0,0,0
1996-07,618400.0,618400.0,598419.0,598419.0,503378.0,4474.0,95041.0,403944.0,99434.0,0.0,0.0,0.0,0.0,0.0,0.0,105.24,105.24,105.22,105.22,108.42,68.6,88.28,104.79,123.15,0.0,0.0,0.0,0.0,0.0,0.0,65.8,65.8,66.27,66.27,66.77,-0.0,0.5,50.64,63.01,66.85,66.49,0.0,0.0,0.0,0.0,0.0,0.0,2058.0,0,2010.0,0.0,2010.0,0.0,0.0,0,0,83.82,0,82.49,0.0,82.49,0.0,0.0,0,0,65.63,0,65.67,0.0,65.67,0.0,0.0,0,0
1996-08,658397.0,658397.0,634529.0,634529.0,540163.0,4568.0,94366.0,436154.0,104009.0,0.0,0.0,0.0,0.0,0.0,0.0,105.64,105.64,105.44,105.44,108.45,69.57,88.2,104.97,123.04,0.0,0.0,0.0,0.0,0.0,0.0,61.97,61.97,62.49,62.5,62.95,0.01,0.46,48.88,59.33,62.92,63.06,0.0,0.0,0.0,0.0,0.0,0.0,2084.0,0,2027.0,0.0,2027.0,0.0,0.0,0,0,84.43,0,82.76,0.0,82.76,0.0,0.0,0,0,64.76,0,64.84,0.0,64.84,0.0,0.0,0,0
1996-09,679820.0,679820.0,654916.0,654916.0,562115.0,4133.0,92801.0,446104.0,116011.0,0.0,0.0,0.0,0.0,0.0,0.0,106.06,106.05,105.81,105.81,108.72,69.53,88.2,105.1,122.63,0.0,0.0,0.0,0.0,0.0,0.0,54.41,54.41,54.93,54.92,55.39,-0.0,0.46,40.37,51.48,55.43,55.24,0.0,0.0,0.0,0.0,0.0,0.0,2286.0,0,2269.0,0.0,2269.0,0.0,0.0,0,0,83.3,0,82.83,0.0,82.83,0.0,0.0,0,0,56.72,0,56.76,0.0,56.76,0.0,0.0,0,0
1996-10,717456.0,717456.0,692992.0,692992.0,610272.0,3587.0,82720.0,466359.0,143913.0,0.0,0.0,0.0,0.0,0.0,0.0,107.61,107.61,107.29,107.29,109.87,69.57,88.28,105.83,122.95,0.0,0.0,0.0,0.0,0.0,0.0,51.2,51.2,51.67,51.67,51.99,-0.0,0.32,38.88,48.73,52.04,51.84,0.0,0.0,0.0,0.0,0.0,0.0,2107.0,0,2094.0,0.0,2094.0,0.0,0.0,0,0,86.61,0,86.19,0.0,86.19,0.0,0.0,0,0,55.23,0,55.25,0.0,55.25,0.0,0.0,0,0
