date,A1_tw,A2,A3_tw,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,A155ABCD,B1_tw,B2,B3_tw,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,B155ABCD,C1_tw,C2,C3_tw,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D,C155ABCD,P1_A,P2_A,P3_A,P75_A,P7595_A,P95115_A,P115135_A,P135155_A,P155_A,P1_B,P2_B,P3_B,P75_B,P7595_B,P95115_B,P115135_B,P135155_B,P155_B,P1_C,P2_C,P3_C,P75_C,P7595_C,P95115_C,P115135_C,P135155_C,P155_C
1996,8072976,8047430,7765316,7740190,7740190,6781283,53038,958907,5227376,1553907,0,0,0,0,0,0,0,107.22,107.28,107.1,107.17,107.16,109.8,78.22,88.56,105.79,123.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.21,58.2,58.13,58.12,58.12,58.4,0.0,0.28,48.56,55.67,58.59,57.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25546,0,25126,0,25126,0,0,0,0,87.9,0,87.06,0.0,87.06,0.0,0.0,0,0,61.1,0,61.06,0.0,61.06,0.0,0.0,0,0
1997,7471955,7449994,7204000,7182434,7182434,6347575,41194,834859,4607758,1739817,0,0,0,0,0,0,0,109.28,109.34,108.92,108.98,108.97,111.62,69.89,88.84,106.59,124.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.96,36.33,36.3,36.29,36.51,0.0,0.21,26.18,34.24,36.94,35.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21961,0,21566,0,20599,967,0,0,0,90.55,0,89.57,0.0,89.19,97.87,0.0,0,0,50.01,0,50.12,0.0,50.02,52.0,0.0,0,0
1998,7157567,7134961,6938139,6915690,6915690,6181817,35854,733873,4371195,1810622,0,0,0,0,0,0,0,110.25,110.3,110.02,110.07,110.07,112.33,84.87,91.06,106.9,125.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.34,45.31,45.74,45.71,45.71,45.82,0.0,0.1,36.3,44.63,45.94,45.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22606,0,22449,0,13887,8562,0,0,0,94.42,0,94.1,0.0,92.23,97.15,0.0,0,0,55.54,0,55.59,0.0,56.74,53.81,0.0,0,0
1999,6932079,6916021,6753795,6737782,6737782,6150269,23903,587513,4265220,1885049,0,0,0,0,0,0,0,111.07,111.12,110.73,110.78,110.78,112.84,71.06,89.17,107.41,125.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.68,61.68,62.0,61.99,61.99,62.03,0.0,0.03,51.08,61.52,62.4,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16058,0,16013,0,15872,141,0,0,0,89.23,0,89.18,0.0,89.12,95.9,0.0,0,0,64.98,0,64.96,0.0,64.89,72.62,0.0,0,0
2000,7878673,7861948,7677720,7661105,7661105,7065609,23905,595496,4760418,2305191,0,0,0,0,0,0,0,112.02,112.07,111.67,111.72,111.71,113.6,71.12,89.31,107.88,125.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,46.74,46.96,46.95,46.95,47.04,0.0,0.08,36.37,45.7,47.32,46.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16725,0,16615,0,15185,1430,0,0,0,89.22,0,89.73,0.0,89.09,96.55,0.0,0,0,51.83,0,51.21,0.0,51.4,49.37,0.0,0,0
2001,8422462,8403146,8189576,8170285,8170285,7438016,24152,732269,4891015,2547001,0,0,0,0,0,0,0,111.73,111.78,111.46,111.51,111.51,113.7,70.02,89.23,107.7,125.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.82,39.81,40.09,40.08,40.09,40.22,0.01,0.13,28.23,38.42,40.17,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19316,0,19291,0,17555,1736,0,0,0,90.13,0,90.06,0.0,89.47,96.04,0.0,0,0,43.48,0,43.49,0.0,43.33,44.95,0.0,0,0
2002,8055800,8036249,7849151,7829600,7829600,7226616,18140,602984,4592874,2633742,0,0,0,0,0,0,0,112.75,112.8,112.28,112.33,112.33,114.24,69.52,89.47,107.97,125.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42,43.41,43.69,43.68,43.68,43.84,0.0,0.15,30.95,41.3,43.63,44.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19551,0,19551,0,15517,4034,0,0,0,92.65,0,92.65,0.0,91.58,96.73,0.0,0,0,47.53,0,47.53,0.0,47.98,45.88,0.0,0,0
2003,7609417,7591021,7415498,7397102,7397102,6928002,18548,469100,4088008,2839994,0,0,0,0,0,0,0,114.44,114.49,113.97,114.02,114.03,115.71,70.76,89.21,108.59,125.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.12,53.12,53.4,53.39,53.4,53.49,0.0,0.1,39.52,51.63,53.69,53.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18396,0,18396,0,15201,3195,0,0,0,91.94,0,91.94,0.0,91.02,96.33,0.0,0,0,57.31,0,57.31,0.0,58.07,53.86,0.0,0,0
2004,7526989,7509839,7321595,7304445,7304445,6904839,16774,399606,3841120,3063719,0,0,0,0,0,0,0,115.73,115.79,115.34,115.4,115.4,116.91,69.33,89.24,109.2,126.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.12,59.11,59.45,59.44,59.44,59.54,0.0,0.1,42.22,57.29,59.77,59.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17150,0,17150,0,14831,2319,0,0,0,91.8,0,91.79,0.0,91.11,96.18,0.0,0,0,64.22,0,64.22,0.0,64.14,64.65,0.0,0,0
2005,7755859,7738881,7503539,7486561,7486561,7113929,14726,372632,3835763,3278166,0,0,0,0,0,0,0,116.32,116.38,115.99,116.05,116.05,117.44,69.94,89.4,109.55,126.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.23,53.23,53.6,53.59,53.6,53.73,0.0,0.14,35.53,50.3,53.65,53.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16978,0,16978,0,14797,2181,0,0,0,91.29,0,91.29,0.0,90.49,96.71,0.0,0,0,58.05,0,58.05,0.0,57.74,60.03,0.0,0,0
