title,author,star,price,src,href,rank,year
原子習慣,詹姆斯．克利爾,4.5,196,https://kbimages1-a.akamaihd.net/92214e93-fa53-49c7-9fc4-d32735187c15/140/215/60/False/pGo8y2e4ET6pdObwFQDfkg.jpg,https://www.kobo.com/tw/zh/ebook/pGo8y2e4ET6pdObwFQDfkg,1,2019
真確：扭轉十大直覺偏誤，發現事情比你想的美好,漢斯．羅斯林,4.5,238,https://kbimages1-a.akamaihd.net/787950cf-36ca-480c-8b17-f237f87bce30/140/215/60/False/tG1aCXbY1zG4OkF74QbGYQ.jpg,https://www.kobo.com/tw/zh/ebook/tG1aCXbY1zG4OkF74QbGYQ,2,2019
人生複本【燒腦神作，零負評！】,布萊克．克勞奇,4.5,232,https://kbimages1-a.akamaihd.net/cbcfd485-ac07-43a8-aa30-dba7a94a307f/140/215/60/False/ejIfELnxhDyrtdMPK98Qsw.jpg,https://www.kobo.com/tw/zh/ebook/ejIfELnxhDyrtdMPK98Qsw,3,2019
子彈思考整理術：釐清超載思緒，化想法為行動，專注最重要的事，設計你想要的人生,瑞德．卡洛 Ryder Carroll,4.5,250,https://kbimages1-a.akamaihd.net/7bf6e146-7b95-4ca4-8884-7d4b5d1cf0d4/140/215/60/False/Ug4ioj457zmQbfVGxD3gZg.jpg,https://www.kobo.com/tw/zh/ebook/Ug4ioj457zmQbfVGxD3gZg,4,2019
惡血：矽谷獨角獸的醫療騙局！深藏血液裡的祕密、謊言與金錢,約翰．凱瑞魯 John Carreyrou,4.5,265,https://kbimages1-a.akamaihd.net/a623eee7-7cd7-4982-88f1-ee4f7beb75fb/140/215/60/False/bXg84NYYXDWDpfk0RzKCzQ.jpg,https://www.kobo.com/tw/zh/ebook/bXg84NYYXDWDpfk0RzKCzQ,5,2019
說理Ｉ：任何場合都能展現智慧、達成說服的語言技術,傑伊．海因里希斯 Jay Heinrichs,4.5,327,https://kbimages1-a.akamaihd.net/153d2ae0-4366-465d-9083-2dfcde8703a8/140/215/60/False/i-310.jpg,https://www.kobo.com/tw/zh/ebook/i-310,6,2019
21世紀的21堂課,哈拉瑞 Yuval Noah Harari,4.5,383,https://kbimages1-a.akamaihd.net/5d774e9b-38cb-4a4d-b0dd-1f0542fc6425/140/215/60/False/6gUeHjagvTyL-UF0OKXi6w.jpg,https://www.kobo.com/tw/zh/ebook/6gUeHjagvTyL-UF0OKXi6w,7,2019
Learn Better學得更好,烏瑞克．鮑澤,4.5,196,https://kbimages1-a.akamaihd.net/c52a2f28-a8f9-4a4f-990a-db620cd6f9cc/140/215/60/False/learn-better-3.jpg,https://www.kobo.com/tw/zh/ebook/learn-better-3,8,2019
花掉的錢都會自己流回來,Mentalist DaiGo,4.0,166,https://kbimages1-a.akamaihd.net/153a9810-b0d4-4223-99ff-bfa349306072/140/215/60/False/TPkBeRlmTTCdbIblKhAiiw.jpg,https://www.kobo.com/tw/zh/ebook/TPkBeRlmTTCdbIblKhAiiw,9,2019
金錢心理學：打破你對金錢的迷思，學會聰明花費,丹．艾瑞利Dan Ariely、傑夫・克萊斯勒Jeff Kreisler,4.5,287,https://kbimages1-a.akamaihd.net/908ba296-ee40-4117-be69-a3b185a61345/140/215/60/False/PZbs2hN4-DennOqtNX0TLw.jpg,https://www.kobo.com/tw/zh/ebook/PZbs2hN4-DennOqtNX0TLw,10,2019
人生勝利聖經：向100位世界強者學習健康、財富和人生智慧,提摩西．費里斯 Timothy Ferriss,4.5,387,https://kbimages1-a.akamaihd.net/31c73f35-e50d-4f37-ba0d-8c0b3fd42156/140/215/60/False/AxSGcvlwQDK0EL5t3f1Acg.jpg,https://www.kobo.com/tw/zh/ebook/AxSGcvlwQDK0EL5t3f1Acg,11,2019
